x,y
9.99E-01,-3.00E-15
1.00E+00,0.00E+00
8.00E-02,5.94E-02
8.00E-02,5.94E-02
8.00E-02,5.94E-02
8.00E-02,5.94E-02
8.00E-02,5.95E-02
8.00E-02,5.95E-02
8.00E-02,5.95E-02
8.00E-02,5.95E-02
8.00E-02,5.95E-02
8.00E-02,5.95E-02
8.00E-02,5.95E-02
8.00E-02,5.95E-02
8.00E-02,5.95E-02
8.00E-02,5.96E-02
8.00E-02,5.96E-02
8.00E-02,5.96E-02
8.00E-02,5.96E-02
8.00E-02,5.96E-02
8.00E-02,5.96E-02
8.00E-02,5.96E-02
8.00E-02,5.97E-02
8.00E-02,5.97E-02
8.00E-02,5.97E-02
8.00E-02,5.97E-02
8.00E-02,5.97E-02
8.00E-02,5.97E-02
8.00E-02,5.98E-02
8.00E-02,5.98E-02
8.00E-02,5.98E-02
8.00E-02,5.98E-02
8.00E-02,5.99E-02
