x,y
1.50E+01,-7.50E+00
1.50E+01,-7.18E+00
1.50E+01,-6.88E+00
1.50E+01,-6.58E+00
1.50E+01,-6.30E+00
1.50E+01,-6.04E+00
1.50E+01,-5.78E+00
1.50E+01,-5.53E+00
1.50E+01,-5.30E+00
1.50E+01,-5.07E+00
1.50E+01,-4.86E+00
1.50E+01,-4.65E+00
1.50E+01,-4.45E+00
1.50E+01,-4.26E+00
1.50E+01,-4.08E+00
1.50E+01,-3.91E+00
1.50E+01,-3.74E+00
1.50E+01,-3.58E+00
1.50E+01,-3.43E+00
1.50E+01,-3.28E+00
1.50E+01,-3.15E+00
1.50E+01,-3.01E+00
1.50E+01,-2.88E+00
1.50E+01,-2.76E+00
1.50E+01,-2.64E+00
1.50E+01,-2.53E+00
1.50E+01,-2.42E+00
1.50E+01,-2.32E+00
1.50E+01,-2.22E+00
1.50E+01,-2.13E+00
1.50E+01,-2.04E+00
1.50E+01,-1.95E+00
1.50E+01,-1.87E+00
1.50E+01,-1.79E+00
1.50E+01,-1.71E+00
1.50E+01,-1.64E+00
1.50E+01,-1.57E+00
1.50E+01,-1.50E+00
1.50E+01,-1.44E+00
1.50E+01,-1.38E+00
1.50E+01,-1.32E+00
1.50E+01,-1.26E+00
1.50E+01,-1.21E+00
1.50E+01,-1.16E+00
1.50E+01,-1.11E+00
1.50E+01,-1.06E+00
1.50E+01,-1.02E+00
1.50E+01,-9.73E-01
1.50E+01,-9.31E-01
1.50E+01,-8.92E-01
1.50E+01,-8.54E-01
1.50E+01,-8.18E-01
1.50E+01,-7.83E-01
1.50E+01,-7.50E-01
1.50E+01,-7.18E-01
1.50E+01,-6.87E-01
1.50E+01,-6.58E-01
1.50E+01,-6.30E-01
1.50E+01,-6.03E-01
1.50E+01,-5.77E-01
1.50E+01,-5.53E-01
1.50E+01,-5.29E-01
1.50E+01,-5.07E-01
1.50E+01,-4.85E-01
1.50E+01,-4.65E-01
1.50E+01,-4.45E-01
1.50E+01,-4.26E-01
1.50E+01,-4.08E-01
1.50E+01,-3.91E-01
1.50E+01,-3.74E-01
1.50E+01,-3.58E-01
1.50E+01,-3.43E-01
1.50E+01,-3.28E-01
1.50E+01,-3.14E-01
1.50E+01,-3.01E-01
1.50E+01,-2.88E-01
1.50E+01,-2.76E-01
1.50E+01,-2.64E-01
1.50E+01,-2.53E-01
1.50E+01,-2.42E-01
1.50E+01,-2.32E-01
1.50E+01,-2.22E-01
1.50E+01,-2.12E-01
1.50E+01,-2.03E-01
1.50E+01,-1.95E-01
1.50E+01,-1.86E-01
1.50E+01,-1.79E-01
1.50E+01,-1.71E-01
1.50E+01,-1.64E-01
1.50E+01,-1.57E-01
1.50E+01,-1.50E-01
1.50E+01,-1.44E-01
1.50E+01,-1.38E-01
1.50E+01,-1.32E-01
1.50E+01,-1.26E-01
1.50E+01,-1.21E-01
1.50E+01,-1.16E-01
1.50E+01,-1.11E-01
1.50E+01,-1.06E-01
1.50E+01,-1.01E-01
1.50E+01,-9.71E-02
1.50E+01,-9.30E-02
1.50E+01,-8.90E-02
1.50E+01,-8.52E-02
1.50E+01,-8.16E-02
1.50E+01,-7.81E-02
1.50E+01,-7.48E-02
1.50E+01,-7.16E-02
1.50E+01,-6.86E-02
1.50E+01,-6.56E-02
1.50E+01,-6.28E-02
1.50E+01,-6.02E-02
1.50E+01,-5.76E-02
1.50E+01,-5.51E-02
1.50E+01,-5.28E-02
1.50E+01,-5.05E-02
